Source,Target,Weight
MTBLS1301,MTBLS5608,0.2222222222222222
MTBLS1301,MTBLS638,0.21428571428571427
MTBLS1301,MTBLS6516,0.21428571428571427
MTBLS1301,MTBLS686,0.26666666666666666
MTBLS1301,MTBLS6927,0.25
MTBLS1301,MTBLS730,0.2777777777777778
MTBLS1301,MTBLS7711,0.2222222222222222
MTBLS1301,MTBLS7713,0.2222222222222222
MTBLS1301,MTBLS809,0.23076923076923078
MTBLS1301,MTBLS833,0.25
MTBLS1302,MTBLS2871,0.21428571428571427
MTBLS1302,MTBLS5778,0.21428571428571427
MTBLS1302,MTBLS79,0.25
MTBLS1309,MTBLS1390,0.21428571428571427
MTBLS1309,MTBLS1474,0.7619047619047619
MTBLS1309,MTBLS2559,0.25
MTBLS1309,MTBLS882,0.23076923076923078
MTBLS131,MTBLS132,1.0
MTBLS131,MTBLS14,0.25
MTBLS131,MTBLS15,0.25
MTBLS131,MTBLS16,0.25
MTBLS131,MTBLS188,0.25
MTBLS131,MTBLS201,0.25
MTBLS131,MTBLS291,0.3333333333333333
MTBLS131,MTBLS293,0.3333333333333333
MTBLS131,MTBLS36,0.5
MTBLS131,MTBLS415,0.25
MTBLS131,MTBLS43,0.3333333333333333
MTBLS131,MTBLS44,0.3333333333333333
MTBLS131,MTBLS460,0.25
MTBLS131,MTBLS47,0.25
MTBLS131,MTBLS484,0.25
MTBLS131,MTBLS525,0.25
MTBLS131,MTBLS54,0.3333333333333333
MTBLS131,MTBLS615,0.3333333333333333
MTBLS131,MTBLS90,0.25
MTBLS1319,MTBLS1627,0.4583333333333333
MTBLS1319,MTBLS1757,0.23809523809523808
MTBLS1319,MTBLS1791,0.5217391304347826
MTBLS1319,MTBLS1792,0.5
MTBLS132,MTBLS14,0.25
MTBLS132,MTBLS15,0.25
MTBLS132,MTBLS16,0.25
MTBLS132,MTBLS188,0.25
MTBLS132,MTBLS201,0.25
MTBLS132,MTBLS291,0.3333333333333333
MTBLS132,MTBLS293,0.3333333333333333
MTBLS132,MTBLS36,0.5
MTBLS132,MTBLS415,0.25
MTBLS132,MTBLS43,0.3333333333333333
MTBLS132,MTBLS44,0.3333333333333333
MTBLS132,MTBLS460,0.25
MTBLS132,MTBLS47,0.25
MTBLS132,MTBLS484,0.25
MTBLS132,MTBLS525,0.25
MTBLS132,MTBLS54,0.3333333333333333
MTBLS132,MTBLS615,0.3333333333333333
MTBLS132,MTBLS90,0.25
MTBLS1320,MTBLS188,0.25
MTBLS1320,MTBLS201,0.25
MTBLS1320,MTBLS209,0.3333333333333333
MTBLS1320,MTBLS2327,0.23529411764705882
MTBLS1320,MTBLS256,0.3333333333333333
MTBLS1320,MTBLS273,0.2222222222222222
MTBLS1320,MTBLS2942,0.25
MTBLS1320,MTBLS303,0.2727272727272727
MTBLS1320,MTBLS3251,0.21428571428571427
MTBLS1320,MTBLS328,0.2222222222222222
MTBLS1320,MTBLS342,0.2727272727272727
MTBLS1320,MTBLS358,0.21428571428571427
MTBLS1320,MTBLS361,0.2727272727272727
MTBLS1320,MTBLS40,0.23076923076923078
MTBLS1320,MTBLS415,0.25
MTBLS1320,MTBLS484,0.42857142857142855
MTBLS1320,MTBLS5132,0.2222222222222222
MTBLS1320,MTBLS5148,0.2222222222222222
MTBLS1320,MTBLS545,0.21428571428571427
MTBLS1320,MTBLS548,0.23076923076923078
MTBLS1320,MTBLS583,0.2222222222222222
MTBLS1320,MTBLS73,0.2222222222222222
MTBLS1320,MTBLS781,0.2727272727272727
MTBLS1320,MTBLS79,0.375
MTBLS1320,MTBLS806,0.2727272727272727
MTBLS1320,MTBLS811,0.3
MTBLS1320,MTBLS893,0.26666666666666666
MTBLS133,MTBLS134,1.0
MTBLS133,MTBLS2942,0.3333333333333333
MTBLS133,MTBLS37,0.5
MTBLS1333,MTBLS1334,0.5172413793103449
MTBLS134,MTBLS2942,0.3333333333333333
MTBLS134,MTBLS37,0.5
MTBLS135,MTBLS138,0.29411764705882354
MTBLS135,MTBLS1388,0.2222222222222222
MTBLS135,MTBLS1430,0.23076923076923078
MTBLS135,MTBLS145,0.35714285714285715
MTBLS135,MTBLS152,0.23076923076923078
MTBLS135,MTBLS158,0.3333333333333333
MTBLS135,MTBLS159,0.35294117647058826
MTBLS135,MTBLS160,0.23076923076923078
MTBLS135,MTBLS1684,0.25
MTBLS135,MTBLS1708,0.21428571428571427
MTBLS135,MTBLS180,0.38461538461538464
MTBLS135,MTBLS181,0.25
MTBLS135,MTBLS186,0.3333333333333333
MTBLS135,MTBLS2205,0.21052631578947367
MTBLS135,MTBLS2215,0.2777777777777778
MTBLS135,MTBLS2331,0.21052631578947367
MTBLS135,MTBLS2394,0.24
MTBLS135,MTBLS2406,0.3076923076923077
MTBLS135,MTBLS261,0.2222222222222222
MTBLS135,MTBLS273,0.2727272727272727
MTBLS135,MTBLS2771,0.2222222222222222
MTBLS135,MTBLS2795,0.21739130434782608
MTBLS135,MTBLS2806,0.2631578947368421
MTBLS135,MTBLS284,0.38461538461538464
MTBLS135,MTBLS3038,0.21428571428571427
MTBLS135,MTBLS318,0.22727272727272727
MTBLS135,MTBLS3320,0.38461538461538464
MTBLS135,MTBLS3786,0.2631578947368421
MTBLS135,MTBLS385,0.23076923076923078
MTBLS135,MTBLS39,0.25
MTBLS135,MTBLS3950,0.21428571428571427
MTBLS135,MTBLS406,0.22580645161290322
MTBLS135,MTBLS407,0.35714285714285715
MTBLS135,MTBLS4307,0.21052631578947367
MTBLS135,MTBLS440,0.24
MTBLS135,MTBLS442,0.2608695652173913
MTBLS135,MTBLS467,0.2777777777777778
MTBLS135,MTBLS4708,0.21052631578947367
MTBLS135,MTBLS520,0.2857142857142857
MTBLS135,MTBLS533,0.2727272727272727
MTBLS135,MTBLS5462,0.25
MTBLS135,MTBLS547,0.26666666666666666
MTBLS135,MTBLS548,0.26666666666666666
MTBLS135,MTBLS5543,0.22727272727272727
MTBLS135,MTBLS686,0.3333333333333333
MTBLS135,MTBLS702,0.23809523809523808
MTBLS135,MTBLS730,0.3333333333333333
MTBLS135,MTBLS742,0.25
MTBLS135,MTBLS795,0.2727272727272727
MTBLS135,MTBLS833,0.4
MTBLS135,MTBLS834,0.3
MTBLS1369,MTBLS1381,0.6818181818181818
MTBLS1369,MTBLS1382,0.5769230769230769
MTBLS1369,MTBLS2852,0.20689655172413793
MTBLS137,MTBLS36,0.25
MTBLS137,MTBLS643,0.25
MTBLS1371,MTBLS1399,0.20833333333333334
MTBLS1371,MTBLS1919,0.2692307692307692
MTBLS1375,MTBLS1464,0.25
MTBLS1375,MTBLS520,0.2222222222222222
MTBLS1376,MTBLS1503,0.23529411764705882
MTBLS1376,MTBLS599,0.2222222222222222
MTBLS138,MTBLS1388,0.2631578947368421
MTBLS138,MTBLS145,0.5
MTBLS138,MTBLS158,0.3684210526315789
MTBLS138,MTBLS159,0.3888888888888889
MTBLS138,MTBLS180,0.5384615384615384
MTBLS138,MTBLS181,0.35
MTBLS138,MTBLS186,0.4666666666666667
MTBLS138,MTBLS201,0.25
MTBLS138,MTBLS204,0.2413793103448276
MTBLS138,MTBLS205,0.21875
MTBLS138,MTBLS2215,0.3888888888888889
MTBLS138,MTBLS2394,0.2692307692307692
MTBLS138,MTBLS284,0.5384615384615384
MTBLS138,MTBLS318,0.3181818181818182
MTBLS138,MTBLS3318,0.3076923076923077
MTBLS138,MTBLS3320,0.5384615384615384
MTBLS138,MTBLS3657,0.23529411764705882
MTBLS138,MTBLS3786,0.3684210526315789
MTBLS138,MTBLS39,0.21428571428571427
MTBLS138,MTBLS406,0.21212121212121213
MTBLS138,MTBLS407,0.5
MTBLS138,MTBLS440,0.2692307692307692
MTBLS138,MTBLS442,0.2916666666666667
MTBLS138,MTBLS467,0.3888888888888889
MTBLS138,MTBLS520,0.25
MTBLS138,MTBLS533,0.30434782608695654
MTBLS138,MTBLS5462,0.35
MTBLS138,MTBLS5543,0.3181818181818182
MTBLS138,MTBLS679,0.21052631578947367
MTBLS138,MTBLS686,0.4666666666666667
MTBLS138,MTBLS697,0.28
MTBLS138,MTBLS702,0.3333333333333333
MTBLS138,MTBLS730,0.3684210526315789
MTBLS138,MTBLS795,0.30434782608695654
